date,open,high,low,close,volume
2024-04-11 14:30:00,697.76,702.24,687.6,688.12,1496.531
2024-04-11 14:35:00,689.34,695.0,685.0,691.23,1455.859
2024-04-11 14:40:00,691.26,716.4,690.5,713.06,3159.081
2024-04-11 14:45:00,713.93,718.48,705.0,707.9,2725.925
2024-04-11 14:50:00,707.9,711.37,700.02,705.21,1502.669
2024-04-11 14:55:00,705.81,705.81,695.03,699.43,2006.626
2024-04-11 15:00:00,699.06,705.55,697.14,703.88,1255.1
2024-04-11 15:05:00,704.5,705.16,690.73,692.39,1573.856
2024-04-11 15:10:00,693.01,695.0,687.76,691.98,1913.155
2024-04-11 15:15:00,691.98,693.09,677.62,689.14,3494.603
2024-04-11 15:20:00,689.42,689.89,680.65,686.55,1721.64
2024-04-11 15:25:00,686.11,687.5,668.27,670.38,2284.636
2024-04-11 15:30:00,670.69,671.9,654.36,668.0,5148.198
2024-04-11 15:35:00,668.0,669.74,650.0,654.02,3393.743
2024-04-11 15:40:00,653.59,657.73,650.08,650.88,2285.061
2024-04-11 15:45:00,651.36,653.68,630.42,632.27,6322.285
2024-04-11 15:50:00,632.27,644.75,631.2,635.62,5096.208
2024-04-11 15:55:00,636.18,647.06,624.49,646.12,7644.248
2024-04-11 16:00:00,645.77,657.5,640.93,650.68,5484.647
2024-04-11 16:05:00,650.21,659.67,640.8,644.6,4132.932
2024-04-11 16:10:00,644.14,647.0,633.61,638.23,3491.094
2024-04-11 16:15:00,638.24,643.0,633.51,634.82,2698.342
2024-04-11 16:20:00,635.14,638.73,629.2,632.26,2691.523
2024-04-11 16:25:00,631.77,632.26,620.4,625.3,4571.493
2024-04-11 16:30:00,624.78,626.77,620.8,622.06,2298.079
2024-04-11 16:35:00,622.29,632.96,620.91,627.74,2970.788
2024-04-11 16:40:00,628.39,628.39,617.12,622.56,3080.089
2024-04-11 16:45:00,622.99,625.2,618.0,621.62,1682.034
2024-04-11 16:50:00,621.62,633.34,621.3,629.12,2429.617
2024-04-11 16:55:00,629.12,631.88,624.28,630.0,1322.196
2024-04-11 17:00:00,630.18,642.17,628.65,639.89,3379.596
2024-04-11 17:05:00,640.49,642.11,635.2,640.31,1471.198
2024-04-11 17:10:00,640.31,645.0,635.33,638.88,1988.529
2024-04-11 17:15:00,638.88,643.0,638.77,640.32,1016.796
2024-04-11 17:20:00,640.31,648.21,639.89,647.19,1574.93
2024-04-11 17:25:00,646.98,649.0,645.0,645.8,1084.876
2024-04-11 17:30:00,645.79,646.89,635.0,636.12,2175.196
2024-04-11 17:35:00,636.38,636.8,631.96,632.58,1150.626
2024-04-11 17:40:00,632.84,642.49,632.58,641.76,1194.563
2024-04-11 17:45:00,641.83,643.99,637.34,639.73,938.294
2024-04-11 17:50:00,640.05,640.09,635.0,635.35,603.52
2024-04-11 17:55:00,635.36,635.76,633.01,634.43,630.466
2024-04-11 18:00:00,634.4,641.33,631.89,639.97,1626.301
2024-04-11 18:05:00,639.71,646.0,639.35,643.74,1166.62
2024-04-11 18:10:00,643.53,644.51,640.32,642.43,933.331
2024-04-11 18:15:00,642.59,643.63,638.11,640.67,795.95
2024-04-11 18:20:00,640.58,647.11,639.14,646.32,754.735
2024-04-11 18:25:00,646.3,646.54,642.93,643.62,602.494
2024-04-11 18:30:00,643.65,645.3,641.18,642.39,708.576
2024-04-11 18:35:00,641.88,642.0,637.05,641.46,819.394
2024-04-11 18:40:00,640.99,640.99,638.0,638.55,479.164
2024-04-11 18:45:00,638.19,638.67,632.11,635.55,1018.716
2024-04-11 18:50:00,635.37,639.0,634.01,636.97,767.906
2024-04-11 18:55:00,636.99,637.97,634.89,636.79,571.427
2024-04-11 19:00:00,636.37,637.02,633.63,633.7,566.319
2024-04-11 19:05:00,633.7,634.57,631.01,632.83,741.685
2024-04-11 19:10:00,632.83,633.9,625.62,626.11,964.714
2024-04-11 19:15:00,626.49,629.56,622.44,625.99,1320.078
2024-04-11 19:20:00,626.58,627.01,621.41,622.75,1064.477
