date,open,high,low,close,volume
2024-03-27 11:00:00,0.8466,0.8466,0.8445,0.8451,241.6
2024-03-27 11:15:00,0.8451,0.8598,0.8449,0.8563,9039.6
2024-03-27 11:30:00,0.8563,0.9056,0.8557,0.8919,15642.9
2024-03-27 11:45:00,0.8919,0.8919,0.8628,0.8721,14482.6
2024-03-27 12:00:00,0.8721,0.8831,0.8714,0.8792,10115.8
2024-03-27 12:15:00,0.8792,0.9097,0.8771,0.9097,12977.1
2024-03-27 12:30:00,0.9097,0.9113,0.8878,0.8905,9892.5
2024-03-27 12:45:00,0.8905,0.8921,0.8833,0.8875,7913.3
2024-03-27 13:00:00,0.8875,0.8987,0.8846,0.8918,10487.4
2024-03-27 13:15:00,0.8918,0.8938,0.8766,0.8938,6290.7
2024-03-27 13:30:00,0.8938,0.894,0.8696,0.8719,6198.5
2024-03-27 13:45:00,0.8719,0.8846,0.8591,0.8647,6511.7
2024-03-27 14:00:00,0.8647,0.8743,0.8444,0.8656,8121.6
2024-03-27 14:15:00,0.8656,0.8998,0.8602,0.8805,9430.0
2024-03-27 14:30:00,0.8805,0.8837,0.8634,0.8637,48002.9
2024-03-27 14:45:00,0.8637,0.8772,0.8604,0.876,42928.9
2024-03-27 15:00:00,0.876,0.8851,0.862,0.8701,33579.3
2024-03-27 15:15:00,0.8701,0.8815,0.8619,0.8719,76692.6
2024-03-27 15:30:00,0.8719,0.874,0.8539,0.8541,119703.4
2024-03-27 15:45:00,0.8541,0.8562,0.8464,0.8469,53238.2
2024-03-27 16:00:00,0.8469,0.8647,0.8469,0.8526,41352.8
2024-03-27 16:15:00,0.8526,0.8941,0.8521,0.884,76141.0
2024-03-27 16:30:00,0.884,0.8861,0.8729,0.8845,94784.3
2024-03-27 16:45:00,0.8845,0.9457,0.8655,0.9027,761225.8
2024-03-27 17:00:00,0.9027,0.9254,0.9027,0.9208,148006.3
2024-03-27 17:15:00,0.9208,0.9208,0.8905,0.8952,76296.1
2024-03-27 17:30:00,0.8952,0.8954,0.8791,0.8953,66975.7
2024-03-27 17:45:00,0.8953,0.8956,0.8848,0.891,32069.8
2024-03-27 18:00:00,0.891,0.8976,0.8881,0.8963,19474.7
2024-03-27 18:15:00,0.8963,0.9001,0.8907,0.8988,42588.8
2024-03-27 18:30:00,0.8988,0.915,0.8988,0.9128,70116.9
2024-03-27 18:45:00,0.9128,0.9232,0.9065,0.9065,188530.1
2024-03-27 19:00:00,0.9065,0.9168,0.8994,0.9071,229036.2
2024-03-27 19:15:00,0.9071,0.9119,0.8768,0.8851,171264.2
2024-03-27 19:30:00,0.8851,0.8911,0.8634,0.8685,270504.3
2024-03-27 19:45:00,0.8685,0.8785,0.8678,0.875,130575.7
2024-03-27 20:00:00,0.875,0.8835,0.8747,0.8771,26887.3
2024-03-27 20:15:00,0.8771,0.878,0.8686,0.8776,54889.6
2024-03-27 20:30:00,0.8776,0.8776,0.8689,0.875,15065.8
2024-03-27 20:45:00,0.875,0.875,0.8662,0.8687,12696.4
2024-03-27 21:00:00,0.8687,0.8788,0.8687,0.8788,195464.7
2024-03-27 21:15:00,0.8788,0.8935,0.8778,0.8855,88929.8
2024-03-27 21:30:00,0.8855,0.899,0.8838,0.8973,48842.6
2024-03-27 21:45:00,0.8973,0.9041,0.8892,0.8952,73292.5
2024-03-27 22:00:00,0.8952,0.8969,0.8826,0.8853,68202.2
2024-03-27 22:15:00,0.8853,0.8855,0.8769,0.878,93948.3
2024-03-27 22:30:00,0.878,0.8786,0.8719,0.8722,34489.1
2024-03-27 22:45:00,0.8722,0.8814,0.872,0.8783,68324.5
2024-03-27 23:00:00,0.8783,0.8783,0.8652,0.8659,101860.1
2024-03-27 23:15:00,0.8659,0.8677,0.8591,0.8625,148125.7
2024-03-27 23:30:00,0.8625,0.8664,0.8592,0.8633,61101.5
2024-03-27 23:45:00,0.8633,0.8705,0.8608,0.8647,66232.6
2024-03-28 00:00:00,0.8647,0.885,0.8586,0.8763,118263.5
2024-03-28 00:15:00,0.8763,0.8859,0.8723,0.8781,88081.9
2024-03-28 00:30:00,0.8781,0.8867,0.8664,0.8867,57367.0
2024-03-28 00:45:00,0.8867,0.887,0.8719,0.8758,82496.8
2024-03-28 01:00:00,0.8758,0.8758,0.8608,0.8644,143474.2
2024-03-28 01:15:00,0.8644,0.8657,0.8539,0.8591,66907.0
2024-03-28 01:30:00,0.8591,0.865,0.8583,0.8637,26760.9
2024-03-28 01:45:00,0.8637,0.8691,0.8578,0.8649,73895.0
2024-03-28 02:00:00,0.8649,0.8716,0.8609,0.8651,59302.4
2024-03-28 02:15:00,0.8651,0.8719,0.863,0.8648,40977.3
2024-03-28 02:30:00,0.8648,0.8648,0.8522,0.8608,201753.5
2024-03-28 02:45:00,0.8608,0.8765,0.8599,0.8753,370511.0
2024-03-28 03:00:00,0.8753,0.8809,0.8722,0.8758,52359.6
2024-03-28 03:15:00,0.8758,0.8817,0.87,0.8787,160861.1
2024-03-28 03:30:00,0.8787,0.879,0.8653,0.8745,79397.0
2024-03-28 03:45:00,0.8745,0.8904,0.8737,0.8901,82981.5
2024-03-28 04:00:00,0.8901,0.913,0.8897,0.9128,183815.6
2024-03-28 04:15:00,0.9128,0.92,0.9017,0.9183,322053.9
2024-03-28 04:30:00,0.9183,0.9295,0.914,0.9146,265734.8
2024-03-28 04:45:00,0.9146,0.9227,0.9135,0.9143,187076.0
2024-03-28 05:00:00,0.9143,0.9286,0.9129,0.9183,218532.3
2024-03-28 05:15:00,0.9183,0.9272,0.9159,0.9188,105805.0
2024-03-28 05:30:00,0.9188,0.9212,0.9042,0.9076,215473.4
2024-03-28 05:45:00,0.9076,0.9076,0.8967,0.9013,195257.8
2024-03-28 06:00:00,0.9013,0.9111,0.897,0.907,99849.1
