date,open,high,low,close,volume
2024-01-15 13:15:00,0.9277,0.9277,0.9277,0.9277,52.0
2024-01-15 13:30:00,0.9277,0.9705,0.9277,0.9589,4831.0
2024-01-15 13:45:00,0.9589,0.9738,0.9476,0.9535,3151.0
2024-01-15 14:00:00,0.9535,0.9635,0.9343,0.9353,3872.0
2024-01-15 14:15:00,0.9353,0.9509,0.9326,0.9405,2425.0
2024-01-15 14:30:00,0.9405,0.9479,0.9255,0.9435,7483.0
2024-01-15 14:45:00,0.9435,0.9529,0.9324,0.9409,7249.0
2024-01-15 15:00:00,0.9409,0.9498,0.9364,0.9487,5836.0
2024-01-15 15:15:00,0.9487,0.9838,0.9487,0.9826,5497.0
2024-01-15 15:30:00,0.9826,1.0306,0.9826,1.028,8794.0
2024-01-15 15:45:00,1.028,1.0726,1.0273,1.0382,7674.0
2024-01-15 16:00:00,1.0382,1.0874,1.0382,1.0813,8977.0
2024-01-15 16:15:00,1.0813,1.0833,1.0597,1.0769,6708.0
2024-01-15 16:30:00,1.0769,1.1297,1.0696,1.1141,4134.0
2024-01-15 16:45:00,1.1141,1.1205,1.1037,1.1138,3108.0
2024-01-15 17:00:00,1.1138,1.1233,1.0963,1.1166,2616.0
2024-01-15 17:15:00,1.1166,1.1232,1.105,1.1232,2606.0
2024-01-15 17:30:00,1.1232,1.1252,1.0891,1.1038,6990.0
2024-01-15 17:45:00,1.1038,1.12,1.1038,1.1172,5263.0
2024-01-15 18:00:00,1.1172,1.1226,1.106,1.1121,5300.0
2024-01-15 18:15:00,1.1121,1.1121,1.0748,1.0767,6769.0
2024-01-15 18:30:00,1.0767,1.1074,1.0767,1.103,3157.0
2024-01-15 18:45:00,1.103,1.1039,1.0888,1.0941,2304.0
2024-01-15 19:00:00,1.0941,1.1541,1.0941,1.1422,3447.0
2024-01-15 19:15:00,1.1422,1.1422,1.1279,1.1334,2364.0
2024-01-15 19:30:00,1.1334,1.1383,1.1182,1.1288,2442.0
2024-01-15 19:45:00,1.1288,1.1427,1.1281,1.1375,1670.0
2024-01-15 20:00:00,1.1375,1.1782,1.1357,1.1762,3852.0
2024-01-15 20:15:00,1.1762,1.1762,1.1444,1.152,2856.0
2024-01-15 20:30:00,1.152,1.152,1.1254,1.1316,3247.0
2024-01-15 20:45:00,1.1316,1.1393,1.1169,1.1304,2605.0
2024-01-15 21:00:00,1.1304,1.1533,1.1304,1.1532,1914.0
2024-01-15 21:15:00,1.1532,1.1536,1.128,1.1347,2482.0
2024-01-15 21:30:00,1.1347,1.148,1.1244,1.1334,3015.0
2024-01-15 21:45:00,1.1334,1.1441,1.1284,1.1441,3434.0
2024-01-15 22:00:00,1.1441,1.146,1.1249,1.1275,2981.0
2024-01-15 22:15:00,1.1275,1.1436,1.1093,1.1387,4106.0
2024-01-15 22:30:00,1.1387,1.1551,1.1313,1.1531,2665.0
2024-01-15 22:45:00,1.1531,1.1531,1.1384,1.1425,2099.0
2024-01-15 23:00:00,1.1425,1.1517,1.138,1.1488,1810.0
2024-01-15 23:15:00,1.1488,1.1564,1.1396,1.1424,2015.0
2024-01-15 23:30:00,1.1424,1.1454,1.1202,1.1299,4485.0
2024-01-15 23:45:00,1.1299,1.1432,1.1299,1.1348,3475.0
2024-01-16 00:00:00,1.1348,1.2352,1.1348,1.1743,4658.0
2024-01-16 00:15:00,1.1743,1.1743,1.0402,1.0939,6115.0
2024-01-16 00:30:00,1.0939,1.1131,1.073,1.0866,4218.0
2024-01-16 00:45:00,1.0866,1.0955,1.073,1.0913,3372.0
2024-01-16 01:00:00,1.0913,1.1111,1.0864,1.1009,2683.0
