date,open,high,low,close,volume
2023-03-23 14:00:00,1.13,1.3276,1.0979,1.2798,20653.98
2023-03-23 15:00:00,1.2798,1.441,1.2466,1.3265,3757831.64
2023-03-23 16:00:00,1.3265,1.3561,1.2131,1.3031,12249810.81
2023-03-23 17:00:00,1.3031,1.3277,1.2692,1.2876,10277395.97
2023-03-23 18:00:00,1.2876,1.3431,1.2754,1.3265,6483945.84
2023-03-23 19:00:00,1.3265,1.4266,1.3212,1.4266,12295499.09
2023-03-23 20:00:00,1.4266,1.4882,1.3867,1.4163,22114425.08
2023-03-23 21:00:00,1.4163,1.4726,1.3859,1.4643,14064686.59
2023-03-23 22:00:00,1.4643,1.4682,1.3503,1.3777,15162355.73
2023-03-23 23:00:00,1.3777,1.3965,1.3112,1.3199,14551577.65
2023-03-24 00:00:00,1.3199,1.3965,1.3199,1.3753,5194663.16
2023-03-24 01:00:00,1.3753,1.4299,1.368,1.4147,4168818.12
2023-03-24 02:00:00,1.4147,1.4243,1.388,1.394,6047918.13
2023-03-24 03:00:00,1.394,1.4121,1.3686,1.3964,4287966.64
2023-03-24 04:00:00,1.3964,1.3971,1.3375,1.3623,7459658.61
2023-03-24 05:00:00,1.3623,1.3909,1.3539,1.3887,2227934.83
2023-03-24 06:00:00,1.3887,1.4243,1.3798,1.4137,7264497.52
2023-03-24 07:00:00,1.4137,1.488,1.4058,1.4803,19030959.66
2023-03-24 08:00:00,1.4803,1.5631,1.4796,1.5218,21099453.64
2023-03-24 09:00:00,1.5218,1.545,1.4691,1.4773,12721122.18
2023-03-24 10:00:00,1.4773,1.5065,1.4542,1.5027,7075051.1
2023-03-24 11:00:00,1.5027,1.5078,1.285,1.4117,15641393.17
2023-03-24 12:00:00,1.4117,1.4594,1.3984,1.4327,12262622.06
2023-03-24 13:00:00,1.4327,1.437,1.3692,1.4137,8905948.19
2023-03-24 14:00:00,1.4137,1.4542,1.3659,1.3713,8378977.54
2023-03-24 15:00:00,1.3713,1.3843,1.3347,1.3763,7394038.65
2023-03-24 16:00:00,1.3763,1.3763,1.3136,1.3254,5333769.87
2023-03-24 17:00:00,1.3254,1.3325,1.2413,1.272,12725248.74
2023-03-24 18:00:00,1.272,1.3026,1.2617,1.2912,7048221.84
2023-03-24 19:00:00,1.2912,1.3184,1.2751,1.3035,3958544.12
2023-03-24 20:00:00,1.3035,1.3035,1.2083,1.2381,10329924.58
2023-03-24 21:00:00,1.2381,1.2567,1.17,1.233,15809370.13
2023-03-24 22:00:00,1.233,1.2511,1.2238,1.2425,6589965.27
2023-03-24 23:00:00,1.2425,1.2852,1.2379,1.272,11679388.12
2023-03-25 00:00:00,1.272,1.2961,1.2312,1.2924,8817600.69
