date,open,high,low,close,volume
2019-12-31 05:00:00,131.44,132.76,131.32,132.66,4263.75
2019-12-31 06:00:00,132.66,133.01,132.12,132.28,4613.59
2019-12-31 07:00:00,132.28,132.43,131.92,132.18,4043.18
2019-12-31 08:00:00,132.18,132.22,131.6,131.73,6617.69
2019-12-31 09:00:00,131.73,132.16,131.24,131.69,4791.57
2019-12-31 10:00:00,131.69,132.17,131.29,131.73,3240.97
2019-12-31 11:00:00,131.73,132.17,131.72,131.91,1488.27
2019-12-31 12:00:00,131.91,131.99,131.06,131.58,7967.3
2019-12-31 13:00:00,131.58,131.99,131.49,131.53,4112.92
2019-12-31 14:00:00,131.53,133.65,131.31,131.71,12608.19
2019-12-31 15:00:00,131.71,131.81,129.01,129.72,24665.17
2019-12-31 16:00:00,129.72,130.47,129.11,130.03,7819.12
2019-12-31 17:00:00,130.03,130.15,128.82,129.39,6782.39
2019-12-31 18:00:00,129.39,130.11,129.0,129.41,5297.44
2019-12-31 19:00:00,129.41,129.42,128.41,128.45,4205.29
2019-12-31 20:00:00,128.45,128.95,128.21,128.41,4157.79
2019-12-31 21:00:00,128.41,129.16,128.23,128.89,1020.76
2019-12-31 22:00:00,128.89,129.39,128.55,129.1,2446.95
2019-12-31 23:00:00,129.1,129.46,128.86,129.17,2845.01
2020-01-01 00:00:00,129.17,129.24,128.65,128.91,3274.85
2020-01-01 01:00:00,128.91,130.65,128.78,130.65,7928.75
2020-01-01 02:00:00,130.65,130.97,130.37,130.89,5111.7
2020-01-01 03:00:00,130.89,130.9,129.94,130.18,4516.71
2020-01-01 04:00:00,130.18,130.72,130.13,130.21,2723.2
2020-01-01 05:00:00,130.21,130.44,130.11,130.28,1292.88
2020-01-01 06:00:00,130.28,130.72,130.23,130.5,1925.52
2020-01-01 07:00:00,130.5,130.67,130.14,130.32,1594.25
2020-01-01 08:00:00,130.32,130.39,129.86,130.35,2813.78
2020-01-01 09:00:00,130.35,130.57,130.12,130.13,3700.0
2020-01-01 10:00:00,130.13,130.77,130.09,130.69,3014.33
2020-01-01 11:00:00,130.69,131.85,130.59,130.74,6727.71
2020-01-01 12:00:00,130.74,131.63,130.69,131.61,3722.6
2020-01-01 13:00:00,131.61,131.87,131.24,131.57,6325.46
2020-01-01 14:00:00,131.57,132.4,131.21,131.93,6161.6
2020-01-01 15:00:00,131.93,132.39,131.58,132.05,5514.46
