date,open,high,low,close,volume
2023-03-02 08:00:00,0.468,0.4693,0.4614,0.4644,13467.0
2023-03-02 09:00:00,0.4644,0.4684,0.4594,0.4601,18296.0
2023-03-02 10:00:00,0.4601,0.4626,0.4548,0.4586,15146.0
2023-03-02 11:00:00,0.4586,0.4607,0.4557,0.4572,21596.0
2023-03-02 12:00:00,0.4572,0.4621,0.452,0.4617,35782.0
2023-03-02 13:00:00,0.4617,0.4653,0.4547,0.4564,31845.0
2023-03-02 14:00:00,0.4564,0.4592,0.4508,0.4527,23516.0
2023-03-02 15:00:00,0.4527,0.4583,0.4513,0.4582,14842.0
2023-03-02 16:00:00,0.4582,0.4609,0.449,0.451,19627.0
2023-03-02 17:00:00,0.451,0.4563,0.4492,0.4542,26641.0
2023-03-02 18:00:00,0.4542,0.4642,0.4533,0.4642,22153.0
2023-03-02 19:00:00,0.4642,0.4658,0.4612,0.4643,16371.0
2023-03-02 20:00:00,0.4643,0.4699,0.4629,0.464,21492.0
2023-03-02 21:00:00,0.464,0.4678,0.461,0.4615,22865.0
2023-03-02 22:00:00,0.4615,0.4701,0.4608,0.4686,23859.0
2023-03-02 23:00:00,0.4686,0.47,0.465,0.4684,28169.0
2023-03-03 00:00:00,0.4684,0.4705,0.4587,0.4593,29963.0
2023-03-03 01:00:00,0.4593,0.4602,0.3979,0.4026,73763.0
2023-03-03 02:00:00,0.4026,0.4197,0.4002,0.4178,63011.0
2023-03-03 03:00:00,0.4178,0.4333,0.4123,0.431,60073.0
2023-03-03 04:00:00,0.431,0.4333,0.4248,0.4314,81765.0
2023-03-03 05:00:00,0.4314,0.4369,0.4273,0.4298,82750.0
2023-03-03 06:00:00,0.4298,0.4412,0.4282,0.4387,69349.0
2023-03-03 07:00:00,0.4387,0.4411,0.4293,0.4347,79969.0
2023-03-03 08:00:00,0.4347,0.4394,0.4322,0.4394,85683.0
2023-03-03 09:00:00,0.4394,0.4405,0.4281,0.4301,68112.0
2023-03-03 10:00:00,0.4301,0.4332,0.4274,0.4301,79583.0
2023-03-03 11:00:00,0.4301,0.4327,0.4273,0.4287,75785.0
2023-03-03 12:00:00,0.4287,0.432,0.4219,0.4244,80015.0
2023-03-03 13:00:00,0.4244,0.4315,0.421,0.4281,115714.0
2023-03-03 14:00:00,0.4281,0.4321,0.4258,0.4299,105691.0
2023-03-03 15:00:00,0.4299,0.4323,0.422,0.4252,86023.0
2023-03-03 16:00:00,0.4252,0.4275,0.4211,0.4257,68127.0
2023-03-03 17:00:00,0.4257,0.429,0.4229,0.4258,37368.0
