date,open,high,low,close,volume
2023-03-17 15:00:00,4.34,4.418,4.319,4.396,2079.0
2023-03-17 16:00:00,4.396,4.417,4.326,4.332,1594.6
2023-03-17 17:00:00,4.332,4.47,4.33,4.451,1221.8
2023-03-17 18:00:00,4.451,4.471,4.367,4.468,1868.0
2023-03-17 19:00:00,4.468,4.638,4.44,4.601,1476.8
2023-03-17 20:00:00,4.601,4.622,4.544,4.594,1736.6
2023-03-17 21:00:00,4.594,4.741,4.573,4.703,1634.5
2023-03-17 22:00:00,4.703,4.74,4.671,4.718,2203.1
2023-03-17 23:00:00,4.718,4.847,4.704,4.832,2205.6
2023-03-18 00:00:00,4.832,4.979,4.726,4.919,3174.3
2023-03-18 01:00:00,4.919,4.999,4.85,4.86,3559.7
2023-03-18 02:00:00,4.86,4.892,4.787,4.859,1716.2
2023-03-18 03:00:00,4.859,4.931,4.814,4.853,1386.7
2023-03-18 04:00:00,4.853,4.891,4.757,4.762,1434.4
2023-03-18 05:00:00,4.762,4.797,4.736,4.753,1358.8
2023-03-18 06:00:00,4.753,4.799,4.711,4.772,1681.0
2023-03-18 07:00:00,4.772,4.851,4.745,4.818,1911.5
2023-03-18 08:00:00,4.818,4.825,4.65,4.709,2890.1
2023-03-18 09:00:00,4.709,4.746,4.655,4.725,4049.8
2023-03-18 10:00:00,4.725,4.755,4.699,4.729,1766.4
2023-03-18 11:00:00,4.729,4.786,4.71,4.761,2593.6
2023-03-18 12:00:00,4.761,4.781,4.677,4.74,2189.8
2023-03-18 13:00:00,4.74,4.772,4.657,4.705,2125.8
2023-03-18 14:00:00,4.705,4.764,4.669,4.684,1760.6
2023-03-18 15:00:00,4.684,4.693,4.499,4.541,1956.8
2023-03-18 16:00:00,4.541,4.624,4.397,4.593,4353.3
2023-03-18 17:00:00,4.593,4.619,4.472,4.553,5127.2
2023-03-18 18:00:00,4.553,4.646,4.524,4.623,817.0
2023-03-18 19:00:00,4.623,4.635,4.555,4.574,1306.8
2023-03-18 20:00:00,4.574,4.624,4.547,4.58,1063.5
2023-03-18 21:00:00,4.58,4.599,4.501,4.509,1257.7
2023-03-18 22:00:00,4.509,4.58,4.5,4.564,2893.1
2023-03-18 23:00:00,4.564,4.617,4.393,4.439,1864.4
2023-03-19 00:00:00,4.439,4.632,4.436,4.569,9040.0
2023-03-19 01:00:00,4.569,4.601,4.52,4.532,5318.5
2023-03-19 02:00:00,4.532,4.594,4.512,4.546,3067.6
2023-03-19 03:00:00,4.546,4.598,4.513,4.587,966.4
2023-03-19 04:00:00,4.587,4.591,4.489,4.507,1412.6
2023-03-19 05:00:00,4.507,4.518,4.421,4.427,2344.8
2023-03-19 06:00:00,4.427,4.464,4.367,4.385,9904.2
2023-03-19 07:00:00,4.385,4.411,4.31,4.362,8315.8
2023-03-19 08:00:00,4.362,4.408,4.321,4.355,3102.4
2023-03-19 09:00:00,4.355,4.392,4.33,4.38,2685.1
2023-03-19 10:00:00,4.38,4.38,4.271,4.295,3208.6
2023-03-19 11:00:00,4.295,4.386,4.252,4.372,3614.1
2023-03-19 12:00:00,4.372,4.42,4.333,4.348,3818.3
2023-03-19 13:00:00,4.348,4.386,4.316,4.332,2718.7
2023-03-19 14:00:00,4.332,4.406,4.331,4.369,3177.6
2023-03-19 15:00:00,4.369,4.444,4.369,4.419,7346.9
2023-03-19 16:00:00,4.419,4.566,4.393,4.52,5037.5
2023-03-19 17:00:00,4.52,4.52,4.416,4.441,4625.7
2023-03-19 18:00:00,4.441,4.498,4.414,4.494,1841.5
2023-03-19 19:00:00,4.494,4.566,4.474,4.479,5058.0
2023-03-19 20:00:00,4.479,4.557,4.355,4.383,8596.9
2023-03-19 21:00:00,4.383,4.45,4.297,4.316,5283.9
2023-03-19 22:00:00,4.316,4.366,4.292,4.339,7123.0
2023-03-19 23:00:00,4.339,4.386,4.242,4.281,7465.3
2023-03-20 00:00:00,4.281,4.299,4.189,4.218,8577.3
2023-03-20 01:00:00,4.218,4.3,4.202,4.275,1728.6
2023-03-20 02:00:00,4.275,4.314,4.213,4.269,4228.4
2023-03-20 03:00:00,4.269,4.286,4.104,4.114,6533.5
2023-03-20 04:00:00,4.114,4.168,4.075,4.132,2808.4
2023-03-20 05:00:00,4.132,4.184,4.13,4.148,1593.8
2023-03-20 06:00:00,4.148,4.196,4.11,4.127,2827.2
2023-03-20 07:00:00,4.127,4.279,4.126,4.243,3595.2
2023-03-20 08:00:00,4.243,4.278,4.161,4.184,1796.3
2023-03-20 09:00:00,4.184,4.219,4.159,4.188,1373.0
2023-03-20 10:00:00,4.188,4.218,4.148,4.179,846.5
2023-03-20 11:00:00,4.179,4.241,4.169,4.193,908.1
2023-03-20 12:00:00,4.193,4.199,4.124,4.169,2455.5
2023-03-20 13:00:00,4.169,4.171,4.062,4.102,4212.5
2023-03-20 14:00:00,4.102,4.174,4.102,4.166,4018.9
2023-03-20 15:00:00,4.166,4.186,4.133,4.144,1415.5
2023-03-20 16:00:00,4.144,4.188,4.01,4.023,4941.8
2023-03-20 17:00:00,4.023,4.103,4.01,4.025,2585.5
2023-03-20 18:00:00,4.025,4.097,3.997,4.062,5196.6
2023-03-20 19:00:00,4.062,4.062,3.943,4.025,5730.2
2023-03-20 20:00:00,4.025,4.09,4.025,4.068,4103.9
2023-03-20 21:00:00,4.068,4.095,4.018,4.054,3110.2
2023-03-20 22:00:00,4.054,4.066,3.991,4.0,2760.0
2023-03-20 23:00:00,4.0,4.033,3.954,3.986,1684.6
2023-03-21 00:00:00,3.986,4.041,3.966,4.011,2437.5
2023-03-21 01:00:00,4.011,4.017,3.906,3.997,4252.3
2023-03-21 02:00:00,3.997,4.014,3.961,3.979,2722.2
2023-03-21 03:00:00,3.979,4.013,3.969,3.99,980.5
2023-03-21 04:00:00,3.99,4.02,3.974,4.007,1406.1
2023-03-21 05:00:00,4.007,4.015,3.938,3.966,5367.8
2023-03-21 06:00:00,3.966,4.078,3.959,4.029,3408.2
2023-03-21 07:00:00,4.029,4.036,3.868,3.915,7978.3
2023-03-21 08:00:00,3.915,3.94,3.862,3.909,3580.0
2023-03-21 09:00:00,3.909,4.062,3.907,3.983,3661.3
2023-03-21 10:00:00,3.983,4.054,3.971,4.018,2991.5
2023-03-21 11:00:00,4.018,4.054,3.999,4.045,4502.0
2023-03-21 12:00:00,4.045,4.215,4.008,4.197,9964.9
2023-03-21 13:00:00,4.197,4.303,4.192,4.29,33834.7
2023-03-21 14:00:00,4.29,4.35,4.196,4.268,10788.7
2023-03-21 15:00:00,4.268,4.388,4.234,4.341,26312.8
2023-03-21 16:00:00,4.341,4.463,4.311,4.42,13698.1
2023-03-21 17:00:00,4.42,4.43,4.284,4.32,16795.3
2023-03-21 18:00:00,4.32,4.326,4.223,4.253,8958.3
2023-03-21 19:00:00,4.253,4.358,4.23,4.34,4026.9
2023-03-21 20:00:00,4.34,4.342,4.278,4.29,9074.8
2023-03-21 21:00:00,4.29,4.29,4.225,4.261,5306.5
2023-03-21 22:00:00,4.261,4.272,4.156,4.19,5640.2
2023-03-21 23:00:00,4.19,4.253,4.181,4.223,5900.1
2023-03-22 00:00:00,4.223,4.226,4.115,4.129,5713.9
2023-03-22 01:00:00,4.129,4.166,4.117,4.156,4071.5
2023-03-22 02:00:00,4.156,4.176,4.123,4.152,3287.3
2023-03-22 03:00:00,4.152,4.196,4.13,4.137,4948.6
2023-03-22 04:00:00,4.137,4.17,4.13,4.157,2093.7
2023-03-22 05:00:00,4.157,4.227,4.143,4.192,7231.5
2023-03-22 06:00:00,4.192,4.216,4.15,4.201,3454.2
2023-03-22 07:00:00,4.201,4.257,4.156,4.244,4571.6
2023-03-22 08:00:00,4.244,4.29,4.185,4.188,13191.9
2023-03-22 09:00:00,4.188,4.219,4.142,4.16,7065.2
2023-03-22 10:00:00,4.16,4.194,4.135,4.165,9031.9
2023-03-22 11:00:00,4.165,4.19,4.109,4.118,4001.5
2023-03-22 12:00:00,4.118,4.196,4.07,4.155,8112.1
2023-03-22 13:00:00,4.155,4.211,4.133,4.169,3426.1
2023-03-22 14:00:00,4.169,4.248,4.157,4.203,3706.5
2023-03-22 15:00:00,4.203,4.262,4.132,4.151,4366.7
2023-03-22 16:00:00,4.151,4.153,4.062,4.105,3621.6
2023-03-22 17:00:00,4.105,4.167,4.018,4.155,5358.6
2023-03-22 18:00:00,4.155,4.358,4.118,4.24,15173.7
2023-03-22 19:00:00,4.24,4.274,3.928,3.964,17665.7
2023-03-22 20:00:00,3.964,4.102,3.92,4.081,4119.9
2023-03-22 21:00:00,4.081,4.122,4.032,4.037,2641.5
2023-03-22 22:00:00,4.037,4.078,3.976,4.078,5923.1
2023-03-22 23:00:00,4.078,4.132,4.074,4.105,6700.8
2023-03-23 00:00:00,4.105,4.227,4.1,4.193,11424.5
2023-03-23 01:00:00,4.193,4.234,4.121,4.126,5542.1
2023-03-23 02:00:00,4.126,4.24,4.106,4.22,4090.9
2023-03-23 03:00:00,4.22,4.247,4.16,4.172,7140.5
2023-03-23 04:00:00,4.172,4.212,4.145,4.173,3139.7
2023-03-23 05:00:00,4.173,4.257,4.162,4.237,14785.4
2023-03-23 06:00:00,4.237,4.316,4.237,4.266,22680.0
2023-03-23 07:00:00,4.266,4.275,4.222,4.251,5888.6
2023-03-23 08:00:00,4.251,4.3,4.246,4.249,3912.4
2023-03-23 09:00:00,4.249,4.263,4.216,4.258,3332.6
2023-03-23 10:00:00,4.258,4.26,4.219,4.239,1883.5
2023-03-23 11:00:00,4.239,4.24,4.185,4.204,4757.7
2023-03-23 12:00:00,4.204,4.204,4.125,4.141,6735.1
2023-03-23 13:00:00,4.141,4.153,4.076,4.121,8626.5
2023-03-23 14:00:00,4.121,4.221,4.087,4.209,5124.0
2023-03-23 15:00:00,4.209,4.322,4.209,4.254,9060.1
2023-03-23 16:00:00,4.254,4.264,4.212,4.255,2517.2
2023-03-23 17:00:00,4.255,4.275,4.199,4.223,4438.6
2023-03-23 18:00:00,4.223,4.223,4.122,4.154,4055.2
2023-03-23 19:00:00,4.154,4.199,4.127,4.178,2120.5
2023-03-23 20:00:00,4.178,4.198,4.148,4.182,1596.3
2023-03-23 21:00:00,4.182,4.182,4.13,4.169,1746.4
2023-03-23 22:00:00,4.169,4.204,4.149,4.198,5955.7
2023-03-23 23:00:00,4.198,4.258,4.191,4.225,3522.2
2023-03-24 00:00:00,4.225,4.239,4.174,4.182,22241.8
2023-03-24 01:00:00,4.182,4.259,4.176,4.235,11151.2
2023-03-24 02:00:00,4.235,4.343,4.228,4.303,7566.8
2023-03-24 03:00:00,4.303,4.352,4.274,4.315,7363.2
2023-03-24 04:00:00,4.315,4.357,4.27,4.272,11043.6
2023-03-24 05:00:00,4.272,4.346,4.272,4.331,4862.4
2023-03-24 06:00:00,4.331,4.425,4.33,4.412,16988.8
2023-03-24 07:00:00,4.412,4.436,4.378,4.398,23165.4
2023-03-24 08:00:00,4.398,4.504,4.371,4.439,48897.4
2023-03-24 09:00:00,4.439,4.478,4.326,4.338,42029.9
2023-03-24 10:00:00,4.338,4.37,4.293,4.343,21422.1
2023-03-24 11:00:00,4.343,4.379,4.207,4.285,48003.9
2023-03-24 12:00:00,4.285,4.362,4.283,4.338,28963.0
2023-03-24 13:00:00,4.338,4.338,4.167,4.254,18108.6
2023-03-24 14:00:00,4.254,4.312,4.195,4.26,14086.9
2023-03-24 15:00:00,4.26,4.261,4.147,4.177,8669.3
2023-03-24 16:00:00,4.177,4.238,4.177,4.211,5234.0
2023-03-24 17:00:00,4.211,4.224,4.041,4.118,18116.5
2023-03-24 18:00:00,4.118,4.151,4.096,4.128,8479.3
2023-03-24 19:00:00,4.128,4.215,4.116,4.208,3061.9
2023-03-24 20:00:00,4.208,4.241,4.154,4.17,9824.2
2023-03-24 21:00:00,4.17,4.218,4.105,4.176,5471.5
2023-03-24 22:00:00,4.176,4.188,4.126,4.129,4692.6
2023-03-24 23:00:00,4.129,4.187,4.123,4.172,9472.0
2023-03-25 00:00:00,4.172,4.217,4.125,4.171,17237.4
2023-03-25 01:00:00,4.171,4.173,4.11,4.154,6300.3
2023-03-25 02:00:00,4.154,4.247,4.145,4.203,7360.5
2023-03-25 03:00:00,4.203,4.219,4.15,4.172,1715.8
2023-03-25 04:00:00,4.172,4.203,4.152,4.169,2050.4
2023-03-25 05:00:00,4.169,4.206,4.126,4.146,17376.9
2023-03-25 06:00:00,4.146,4.164,4.11,4.123,3574.4
2023-03-25 07:00:00,4.123,4.142,4.091,4.092,3996.9
2023-03-25 08:00:00,4.092,4.102,4.037,4.044,3153.7
2023-03-25 09:00:00,4.044,4.066,3.978,4.061,9437.5
2023-03-25 10:00:00,4.061,4.076,4.015,4.027,5852.4
2023-03-25 11:00:00,4.027,4.081,4.006,4.07,2937.9
2023-03-25 12:00:00,4.07,4.078,3.916,3.951,23639.6
2023-03-25 13:00:00,3.951,4.012,3.902,3.992,23636.2
2023-03-25 14:00:00,3.992,3.999,3.943,3.946,10038.3
2023-03-25 15:00:00,3.946,4.013,3.887,3.974,19138.0
2023-03-25 16:00:00,3.974,3.992,3.938,3.957,9570.9
2023-03-25 17:00:00,3.957,3.985,3.905,3.905,6301.8
2023-03-25 18:00:00,3.905,3.943,3.853,3.862,15758.9
2023-03-25 19:00:00,3.862,3.879,3.802,3.816,12898.9
2023-03-25 20:00:00,3.816,3.85,3.783,3.81,13829.5
2023-03-25 21:00:00,3.81,3.84,3.788,3.802,17398.8
2023-03-25 22:00:00,3.802,3.856,3.798,3.814,9217.4
2023-03-25 23:00:00,3.814,3.835,3.802,3.826,6118.0
2023-03-26 00:00:00,3.826,3.878,3.779,3.853,14519.6
2023-03-26 01:00:00,3.853,3.9,3.824,3.855,10698.0
2023-03-26 02:00:00,3.855,3.93,3.855,3.898,10447.2
2023-03-26 03:00:00,3.898,3.908,3.866,3.878,11594.7
2023-03-26 04:00:00,3.878,3.921,3.868,3.917,8200.3
2023-03-26 05:00:00,3.917,3.936,3.888,3.934,5317.4
2023-03-26 06:00:00,3.934,3.955,3.894,3.922,9340.4
2023-03-26 07:00:00,3.922,3.941,3.884,3.895,3512.4
2023-03-26 08:00:00,3.895,4.012,3.865,3.96,18654.9
2023-03-26 09:00:00,3.96,4.011,3.925,3.966,10326.1
2023-03-26 10:00:00,3.966,3.968,3.925,3.94,4634.3
2023-03-26 11:00:00,3.94,4.0,3.93,3.987,10269.5
2023-03-26 12:00:00,3.987,4.06,3.978,4.036,10604.1
2023-03-26 13:00:00,4.036,4.081,4.029,4.076,14180.0
2023-03-26 14:00:00,4.076,4.09,3.957,3.987,16311.1
2023-03-26 15:00:00,3.987,3.997,3.932,3.961,6054.4
2023-03-26 16:00:00,3.961,3.991,3.938,3.944,5934.8
2023-03-26 17:00:00,3.944,4.0,3.941,3.988,12188.4
2023-03-26 18:00:00,3.988,4.008,3.961,3.986,4055.8
2023-03-26 19:00:00,3.986,4.032,3.977,4.0,12556.7
2023-03-26 20:00:00,4.0,4.01,3.934,3.963,8545.1
2023-03-26 21:00:00,3.963,4.019,3.952,4.012,4707.5
2023-03-26 22:00:00,4.012,4.052,3.987,4.043,9370.5
2023-03-26 23:00:00,4.043,4.077,4.033,4.051,11936.2
2023-03-27 00:00:00,4.051,4.065,4.018,4.023,5134.1
2023-03-27 01:00:00,4.023,4.04,3.965,3.977,10276.3
2023-03-27 02:00:00,3.977,4.014,3.969,3.981,3922.5
2023-03-27 03:00:00,3.981,4.001,3.958,3.981,2958.1
2023-03-27 04:00:00,3.981,4.023,3.975,3.99,3298.6
2023-03-27 05:00:00,3.99,4.015,3.939,3.956,7707.4
2023-03-27 06:00:00,3.956,3.987,3.925,3.973,6619.0
2023-03-27 07:00:00,3.973,3.979,3.907,3.922,5637.8
2023-03-27 08:00:00,3.922,4.046,3.886,4.014,11218.3
2023-03-27 09:00:00,4.014,4.063,3.989,4.036,9717.9
2023-03-27 10:00:00,4.036,4.046,4.013,4.035,14664.8
2023-03-27 11:00:00,4.035,4.038,3.994,4.016,3502.1
2023-03-27 12:00:00,4.016,4.044,3.925,3.953,13797.0
2023-03-27 13:00:00,3.953,3.97,3.91,3.919,33593.4
2023-03-27 14:00:00,3.919,3.926,3.823,3.823,24566.1
2023-03-27 15:00:00,3.823,3.835,3.711,3.788,37370.3
2023-03-27 16:00:00,3.788,3.898,3.77,3.79,26723.9
2023-03-27 17:00:00,3.79,3.804,3.697,3.721,13232.7
2023-03-27 18:00:00,3.721,3.809,3.718,3.772,11345.3
2023-03-27 19:00:00,3.772,3.803,3.737,3.742,14539.0
2023-03-27 20:00:00,3.742,3.769,3.726,3.746,7407.7
2023-03-27 21:00:00,3.746,3.871,3.742,3.778,18265.4
2023-03-27 22:00:00,3.778,3.786,3.747,3.769,9134.5
