date,open,high,low,close,volume
2024-07-26 10:00:00,6.894,7.036,6.87,6.887,12172.3
2024-07-26 11:00:00,6.887,6.978,6.745,6.809,93943.5
2024-07-26 12:00:00,6.809,6.917,6.709,6.82,71372.0
2024-07-26 13:00:00,6.82,6.924,6.781,6.856,46115.2
2024-07-26 14:00:00,6.856,6.906,6.728,6.805,70435.1
2024-07-26 15:00:00,6.805,6.859,6.777,6.836,28632.2
2024-07-26 16:00:00,6.836,6.863,6.764,6.779,37226.0
2024-07-26 17:00:00,6.779,6.887,6.779,6.826,26244.4
2024-07-26 18:00:00,6.826,6.913,6.825,6.906,18162.7
2024-07-26 19:00:00,6.906,6.961,6.85,6.867,45557.0
2024-07-26 20:00:00,6.867,6.869,6.728,6.831,39658.1
2024-07-26 21:00:00,6.831,6.86,6.761,6.81,29132.5
2024-07-26 22:00:00,6.81,6.83,6.782,6.823,15009.2
2024-07-26 23:00:00,6.823,6.825,6.768,6.788,18609.4
2024-07-27 00:00:00,6.788,6.788,6.52,6.704,54912.2
2024-07-27 01:00:00,6.704,6.706,6.599,6.599,27141.1
2024-07-27 02:00:00,6.599,6.699,6.556,6.695,26327.3
2024-07-27 03:00:00,6.695,6.738,6.663,6.713,22845.7
2024-07-27 04:00:00,6.713,6.736,6.661,6.68,24127.5
2024-07-27 05:00:00,6.68,6.773,6.679,6.725,21550.7
2024-07-27 06:00:00,6.725,6.824,6.725,6.808,19413.5
2024-07-27 07:00:00,6.808,6.819,6.759,6.808,20604.6
2024-07-27 08:00:00,6.808,6.846,6.767,6.821,23409.1
2024-07-27 09:00:00,6.821,6.854,6.795,6.823,13945.1
2024-07-27 10:00:00,6.823,6.827,6.732,6.785,22269.0
2024-07-27 11:00:00,6.785,6.8,6.723,6.734,16125.9
2024-07-27 12:00:00,6.734,6.784,6.7,6.777,16391.5
2024-07-27 13:00:00,6.777,6.809,6.633,6.673,188128.3
2024-07-27 14:00:00,6.673,6.719,6.525,6.629,48725.9
2024-07-27 15:00:00,6.629,6.643,6.532,6.553,35016.4
2024-07-27 16:00:00,6.553,6.646,6.481,6.548,34410.9
2024-07-27 17:00:00,6.548,6.571,6.501,6.535,16772.4
2024-07-27 18:00:00,6.535,6.638,6.527,6.561,22684.6
2024-07-27 19:00:00,6.561,6.585,6.481,6.531,20654.8
2024-07-27 20:00:00,6.531,6.565,6.331,6.511,125168.1
2024-07-27 21:00:00,6.511,6.65,6.479,6.635,27469.7
2024-07-27 22:00:00,6.635,6.64,6.578,6.58,12659.1
2024-07-27 23:00:00,6.58,6.58,6.432,6.46,14266.7
2024-07-28 00:00:00,6.46,6.516,6.35,6.476,15830.4
2024-07-28 01:00:00,6.476,6.533,6.474,6.527,12532.9
2024-07-28 02:00:00,6.527,6.557,6.487,6.489,11821.6
2024-07-28 03:00:00,6.489,6.499,6.459,6.474,11350.3
2024-07-28 04:00:00,6.474,6.48,6.417,6.417,11399.5
2024-07-28 05:00:00,6.417,6.457,6.377,6.451,11290.5
2024-07-28 06:00:00,6.451,6.472,6.431,6.457,13235.9
2024-07-28 07:00:00,6.457,6.501,6.432,6.496,12206.1
2024-07-28 08:00:00,6.496,6.532,6.451,6.499,9140.4
2024-07-28 09:00:00,6.499,6.503,6.43,6.441,14287.6
2024-07-28 10:00:00,6.441,6.473,6.426,6.433,20185.1
2024-07-28 11:00:00,6.433,6.47,6.38,6.413,65946.1
2024-07-28 12:00:00,6.413,6.487,6.391,6.467,25865.0
2024-07-28 13:00:00,6.467,6.534,6.393,6.448,89958.6
2024-07-28 14:00:00,6.448,6.448,6.2,6.273,98944.4
2024-07-28 15:00:00,6.273,6.296,6.158,6.293,43528.1
2024-07-28 16:00:00,6.293,6.358,6.271,6.3,31247.5
2024-07-28 17:00:00,6.3,6.343,6.271,6.331,19583.8
2024-07-28 18:00:00,6.331,6.375,6.308,6.334,20107.3
2024-07-28 19:00:00,6.334,6.342,6.252,6.295,22499.4
2024-07-28 20:00:00,6.295,6.367,6.262,6.302,26071.1
2024-07-28 21:00:00,6.302,6.323,6.254,6.287,11836.5
2024-07-28 22:00:00,6.287,6.323,6.231,6.257,13633.6
2024-07-28 23:00:00,6.257,6.295,6.209,6.269,20682.9
2024-07-29 00:00:00,6.269,6.417,6.222,6.362,24790.0
2024-07-29 01:00:00,6.362,6.446,6.361,6.414,22874.5
2024-07-29 02:00:00,6.414,6.482,6.384,6.459,20125.9
2024-07-29 03:00:00,6.459,6.498,6.425,6.454,22497.9
2024-07-29 04:00:00,6.454,6.498,6.412,6.495,16439.8
2024-07-29 05:00:00,6.495,6.508,6.479,6.507,22903.2
2024-07-29 06:00:00,6.507,6.546,6.458,6.499,35608.1
2024-07-29 07:00:00,6.499,6.604,6.49,6.551,42701.9
2024-07-29 08:00:00,6.551,6.595,6.524,6.526,12452.1
2024-07-29 09:00:00,6.526,6.644,6.501,6.641,35600.7
2024-07-29 10:00:00,6.641,6.658,6.584,6.613,29612.1
2024-07-29 11:00:00,6.613,6.643,6.576,6.625,28596.9
2024-07-29 12:00:00,6.625,6.632,6.515,6.596,48891.3
2024-07-29 13:00:00,6.596,6.612,6.404,6.45,55941.5
2024-07-29 14:00:00,6.45,6.5,6.414,6.445,37247.7
2024-07-29 15:00:00,6.445,6.46,6.309,6.457,68432.0
2024-07-29 16:00:00,6.457,6.51,6.243,6.253,640260.9
2024-07-29 17:00:00,6.253,6.316,6.122,6.291,428974.5
2024-07-29 18:00:00,6.291,6.305,6.212,6.246,23696.8
2024-07-29 19:00:00,6.246,6.275,6.207,6.245,27745.5
2024-07-29 20:00:00,6.245,6.266,6.216,6.247,11589.4
2024-07-29 21:00:00,6.247,6.254,6.185,6.235,16271.6
2024-07-29 22:00:00,6.235,6.241,6.164,6.212,17280.0
2024-07-29 23:00:00,6.212,6.237,6.133,6.15,29612.4
2024-07-30 00:00:00,6.15,6.241,6.092,6.233,48045.7
2024-07-30 01:00:00,6.233,6.295,6.152,6.185,22640.6
2024-07-30 02:00:00,6.185,6.207,6.102,6.165,12442.2
2024-07-30 03:00:00,6.165,6.256,6.155,6.255,12308.8
2024-07-30 04:00:00,6.255,6.268,6.223,6.266,12983.3
2024-07-30 05:00:00,6.266,6.273,6.12,6.17,39313.1
2024-07-30 06:00:00,6.17,6.227,6.146,6.219,15147.5
2024-07-30 07:00:00,6.219,6.258,6.212,6.228,17342.2
2024-07-30 08:00:00,6.228,6.298,6.187,6.277,34853.0
2024-07-30 09:00:00,6.277,6.289,6.208,6.221,40427.1
2024-07-30 10:00:00,6.221,6.231,6.174,6.182,20574.6
2024-07-30 11:00:00,6.182,6.221,6.15,6.195,19880.4
2024-07-30 12:00:00,6.195,6.211,6.124,6.202,24762.2
2024-07-30 13:00:00,6.202,6.244,6.159,6.159,40807.2
2024-07-30 14:00:00,6.159,6.203,6.137,6.144,26324.7
2024-07-30 15:00:00,6.144,6.197,6.119,6.168,34334.2
2024-07-30 16:00:00,6.168,6.191,6.13,6.149,22854.9
2024-07-30 17:00:00,6.149,6.153,6.044,6.077,47748.7
2024-07-30 18:00:00,6.077,6.089,6.0,6.053,51835.4
2024-07-30 19:00:00,6.053,6.053,5.941,5.999,31175.1
2024-07-30 20:00:00,5.999,6.048,5.925,6.021,51228.8
2024-07-30 21:00:00,6.021,6.036,5.968,6.011,36940.8
2024-07-30 22:00:00,6.011,6.056,5.993,6.013,24807.0
2024-07-30 23:00:00,6.013,6.033,5.995,6.013,12295.5
2024-07-31 00:00:00,6.013,6.172,6.002,6.15,15498.2
2024-07-31 01:00:00,6.15,6.182,6.054,6.114,17836.3
2024-07-31 02:00:00,6.114,6.122,6.05,6.051,10582.1
