date,open,high,low,close,volume
2024-03-09 03:00:00,2.1223,2.1356,2.117,2.1309,1232.8
2024-03-09 04:00:00,2.1309,2.1564,2.1131,2.1234,9418.1
2024-03-09 05:00:00,2.1234,2.1234,2.0817,2.0955,4210.6
2024-03-09 06:00:00,2.0955,2.1534,2.0834,2.1376,5187.8
2024-03-09 07:00:00,2.1376,2.1558,2.1014,2.1036,77540.7
2024-03-09 08:00:00,2.1036,2.1367,2.05,2.078,561627.0
2024-03-09 09:00:00,2.078,2.1511,2.0715,2.1297,515326.0
2024-03-09 10:00:00,2.1297,2.1309,2.0553,2.0953,592751.0
2024-03-09 11:00:00,2.0953,2.1031,2.0603,2.0722,498881.9
2024-03-09 12:00:00,2.0722,2.0767,2.0279,2.0705,626807.2
2024-03-09 13:00:00,2.0705,2.149,2.0538,2.1353,664046.5
2024-03-09 14:00:00,2.1353,2.1754,2.1275,2.1573,215215.3
2024-03-09 15:00:00,2.1573,2.1587,2.1092,2.1147,128839.2
2024-03-09 16:00:00,2.1147,2.1662,2.071,2.0878,277158.0
2024-03-09 17:00:00,2.0878,2.105,2.0606,2.0767,183939.8
2024-03-09 18:00:00,2.0767,2.1498,2.0735,2.1359,202786.2
2024-03-09 19:00:00,2.1359,2.171,2.1322,2.16,100882.1
2024-03-09 20:00:00,2.16,2.2086,2.1534,2.1739,108879.3
2024-03-09 21:00:00,2.1739,2.1969,2.1494,2.1913,115449.4
2024-03-09 22:00:00,2.1913,2.1948,2.1416,2.1457,97322.0
2024-03-09 23:00:00,2.1457,2.1925,2.1269,2.1732,230588.4
2024-03-10 00:00:00,2.1732,2.2109,2.1022,2.1162,171667.4
2024-03-10 01:00:00,2.1162,2.1898,2.0854,2.1719,195030.6
2024-03-10 02:00:00,2.1719,2.2023,2.1135,2.1206,135976.1
2024-03-10 03:00:00,2.1206,2.1323,2.104,2.1145,68998.8
2024-03-10 04:00:00,2.1145,2.1985,2.1002,2.1771,177150.8
2024-03-10 05:00:00,2.1771,2.1979,2.1515,2.1721,162424.3
2024-03-10 06:00:00,2.1721,2.3168,2.1537,2.3123,374896.6
2024-03-10 07:00:00,2.3123,2.346,2.2591,2.2763,309442.5
2024-03-10 08:00:00,2.2763,2.3319,2.2654,2.3095,487554.5
2024-03-10 09:00:00,2.3095,2.35,2.2197,2.3096,333978.8
2024-03-10 10:00:00,2.3096,2.4523,2.3073,2.442,325848.4
2024-03-10 11:00:00,2.442,2.4897,2.3658,2.3983,250512.3
2024-03-10 12:00:00,2.3983,2.402,2.294,2.3212,302175.9
2024-03-10 13:00:00,2.3212,2.3278,2.2574,2.286,181743.2
2024-03-10 14:00:00,2.286,2.286,2.1858,2.2173,230036.9
2024-03-10 15:00:00,2.2173,2.2188,2.1517,2.1574,139066.0
2024-03-10 16:00:00,2.1574,2.252,2.149,2.2029,266728.3
2024-03-10 17:00:00,2.2029,2.2102,2.1524,2.1631,189566.4
2024-03-10 18:00:00,2.1631,2.227,2.1588,2.205,129284.9
2024-03-10 19:00:00,2.205,2.2523,2.1862,2.2169,176644.3
2024-03-10 20:00:00,2.2169,2.2256,2.1848,2.1992,96286.1
2024-03-10 21:00:00,2.1992,2.2032,2.1511,2.1554,65637.4
2024-03-10 22:00:00,2.1554,2.1559,2.0308,2.0573,351752.5
2024-03-10 23:00:00,2.0573,2.1423,2.055,2.1386,113394.1
2024-03-11 00:00:00,2.1386,2.1478,2.0124,2.1397,157850.2
2024-03-11 01:00:00,2.1397,2.1397,2.0138,2.0524,155097.0
2024-03-11 02:00:00,2.0524,2.0729,2.0329,2.0555,69924.4
2024-03-11 03:00:00,2.0555,2.1185,2.0527,2.0978,66788.4
2024-03-11 04:00:00,2.0978,2.1185,2.0827,2.0859,60070.4
2024-03-11 05:00:00,2.0859,2.1161,2.0711,2.0784,31921.4
2024-03-11 06:00:00,2.0784,2.1245,2.0554,2.1245,61335.4
2024-03-11 07:00:00,2.1245,2.277,2.103,2.2344,470987.1
2024-03-11 08:00:00,2.2344,2.2857,2.1647,2.1728,169646.0
2024-03-11 09:00:00,2.1728,2.2607,2.157,2.2446,188222.6
2024-03-11 10:00:00,2.2446,2.2485,2.1931,2.1974,149375.2
2024-03-11 11:00:00,2.1974,2.2232,2.1565,2.1584,194048.1
2024-03-11 12:00:00,2.1584,2.1715,2.145,2.1637,150229.1
2024-03-11 13:00:00,2.1637,2.1732,2.0868,2.0947,262401.7
2024-03-11 14:00:00,2.0947,2.1181,2.085,2.1105,194392.8
2024-03-11 15:00:00,2.1105,2.1184,2.066,2.0766,138720.2
2024-03-11 16:00:00,2.0766,2.0895,2.0513,2.0718,143912.1
2024-03-11 17:00:00,2.0718,2.1104,2.068,2.0912,88231.3
2024-03-11 18:00:00,2.0912,2.1066,2.0725,2.083,82699.6
2024-03-11 19:00:00,2.083,2.1004,2.072,2.0773,82107.0
2024-03-11 20:00:00,2.0773,2.1181,2.0754,2.1087,82169.1
2024-03-11 21:00:00,2.1087,2.1259,2.0925,2.1155,83451.3
2024-03-11 22:00:00,2.1155,2.1161,2.0476,2.0644,128626.3
2024-03-11 23:00:00,2.0644,2.12,2.0639,2.1112,54684.0
2024-03-12 00:00:00,2.1112,2.1185,2.0785,2.0871,105612.1
2024-03-12 01:00:00,2.0871,2.1214,2.064,2.0883,105153.3
2024-03-12 02:00:00,2.0883,2.1086,2.0624,2.0785,94992.7
2024-03-12 03:00:00,2.0785,2.0797,1.975,1.9883,309619.2
2024-03-12 04:00:00,1.9883,1.9993,1.9471,1.9475,272678.6
2024-03-12 05:00:00,1.9475,1.9761,1.9321,1.9581,116422.6
2024-03-12 06:00:00,1.9581,1.9612,1.8869,1.9275,552301.5
2024-03-12 07:00:00,1.9275,1.9275,1.8627,1.8824,329717.0
2024-03-12 08:00:00,1.8824,1.92,1.848,1.8938,260791.4
2024-03-12 09:00:00,1.8938,1.9239,1.8898,1.9229,280126.7
2024-03-12 10:00:00,1.9229,1.944,1.9002,1.931,193235.2
2024-03-12 11:00:00,1.931,1.9661,1.9262,1.934,200835.8
2024-03-12 12:00:00,1.934,1.992,1.9147,1.9433,267031.7
2024-03-12 13:00:00,1.9433,1.9675,1.9231,1.9299,227894.6
2024-03-12 14:00:00,1.9299,1.9608,1.9005,1.9231,218357.2
2024-03-12 15:00:00,1.9231,2.029,1.9157,2.0072,434060.0
2024-03-12 16:00:00,2.0072,2.0238,1.9049,1.9163,394304.2
2024-03-12 17:00:00,1.9163,1.9429,1.7911,1.9413,657411.8
2024-03-12 18:00:00,1.9413,1.9603,1.8991,1.9458,274502.9
2024-03-12 19:00:00,1.9458,1.9885,1.9347,1.9801,224554.3
2024-03-12 20:00:00,1.9801,2.1119,1.9801,2.1119,361113.4
2024-03-12 21:00:00,2.1119,2.113,2.0274,2.049,267706.4
2024-03-12 22:00:00,2.049,2.0824,2.0402,2.0729,83821.7
2024-03-12 23:00:00,2.0729,2.1868,2.0712,2.1679,425381.9
2024-03-13 00:00:00,2.1679,2.2692,2.1329,2.1822,311199.5
2024-03-13 01:00:00,2.1822,2.2081,2.1452,2.1828,226118.6
2024-03-13 02:00:00,2.1828,2.184,2.1571,2.1714,46659.0
2024-03-13 03:00:00,2.1714,2.2412,2.1529,2.1991,155240.4
2024-03-13 04:00:00,2.1991,2.33,2.1862,2.3261,360480.5
2024-03-13 05:00:00,2.3261,2.3394,2.2572,2.2609,248604.4
2024-03-13 06:00:00,2.2609,2.3449,2.2424,2.2553,337318.2
2024-03-13 07:00:00,2.2553,2.38,2.2373,2.3418,546545.0
2024-03-13 08:00:00,2.3418,2.3581,2.2922,2.3155,292348.5
2024-03-13 09:00:00,2.3155,2.4021,2.2761,2.278,585506.4
2024-03-13 10:00:00,2.278,2.285,2.2045,2.2293,512513.0
2024-03-13 11:00:00,2.2293,2.2643,2.2105,2.235,216350.5
2024-03-13 12:00:00,2.235,2.3349,2.235,2.3053,381815.9
2024-03-13 13:00:00,2.3053,2.3188,2.1817,2.2286,431041.7
2024-03-13 14:00:00,2.2286,2.3107,2.2221,2.2934,456300.8
2024-03-13 15:00:00,2.2934,2.4682,2.2744,2.4102,757381.6
2024-03-13 16:00:00,2.4102,2.6404,2.4102,2.6203,1792938.4
2024-03-13 17:00:00,2.6203,2.6578,2.5565,2.6018,950826.6
2024-03-13 18:00:00,2.6018,2.6894,2.6018,2.6409,658649.4
2024-03-13 19:00:00,2.6409,2.6645,2.6023,2.6144,328031.4
2024-03-13 20:00:00,2.6144,2.6511,2.585,2.6178,342759.6
2024-03-13 21:00:00,2.6178,2.7771,2.6166,2.7439,730608.0
2024-03-13 22:00:00,2.7439,2.7568,2.6374,2.6734,360784.2
2024-03-13 23:00:00,2.6734,2.6958,2.6353,2.6525,203997.4
2024-03-14 00:00:00,2.6525,2.7439,2.6493,2.7308,315196.5
2024-03-14 01:00:00,2.7308,2.8483,2.6977,2.8461,601481.6
2024-03-14 02:00:00,2.8461,3.0061,2.8125,2.9087,1385313.1
2024-03-14 03:00:00,2.9087,2.9339,2.8318,2.9113,1376032.5
2024-03-14 04:00:00,2.9113,2.9492,2.84,2.8507,658122.8
2024-03-14 05:00:00,2.8507,2.9917,2.8486,2.9814,774801.7
2024-03-14 06:00:00,2.9814,3.2901,2.9577,3.2341,1934188.3
2024-03-14 07:00:00,3.2341,3.2808,3.08,3.1276,1660180.7
2024-03-14 08:00:00,3.1276,3.318,3.1163,3.2311,1573008.6
2024-03-14 09:00:00,3.2311,3.3941,3.2018,3.3552,1278040.0
2024-03-14 10:00:00,3.3552,3.4613,3.2521,3.2681,2100772.4
2024-03-14 11:00:00,3.2681,3.288,3.1113,3.2542,2499242.4
2024-03-14 12:00:00,3.2542,3.3388,3.2487,3.307,1480321.9
2024-03-14 13:00:00,3.307,3.3305,3.0147,3.1336,2345964.9
2024-03-14 14:00:00,3.1336,3.3239,3.1293,3.2595,1770570.3
2024-03-14 15:00:00,3.2595,3.3399,3.1289,3.302,1392107.9
2024-03-14 16:00:00,3.302,3.4458,3.1251,3.4026,2916197.3
2024-03-14 17:00:00,3.4026,3.4736,3.2122,3.3073,1700158.1
2024-03-14 18:00:00,3.3073,3.3253,3.1331,3.2143,890834.0
2024-03-14 19:00:00,3.2143,3.2795,2.9649,3.2237,1864438.8
2024-03-14 20:00:00,3.2237,3.3368,3.1951,3.2302,1322250.2
2024-03-14 21:00:00,3.2302,3.2343,3.0989,3.1067,889155.0
2024-03-14 22:00:00,3.1067,3.2331,3.0954,3.1488,607908.4
2024-03-14 23:00:00,3.1488,3.22,3.1365,3.1653,221176.6
2024-03-15 00:00:00,3.1653,3.2965,3.1653,3.2272,507258.1
2024-03-15 01:00:00,3.2272,3.493,3.2165,3.4529,964087.8
2024-03-15 02:00:00,3.4529,3.5689,3.1441,3.2588,1662664.6
2024-03-15 03:00:00,3.2588,3.5304,3.0385,3.4187,1700852.0
2024-03-15 04:00:00,3.4187,3.5111,3.2282,3.2413,1011638.2
2024-03-15 05:00:00,3.2413,3.3851,3.1495,3.1529,833736.8
2024-03-15 06:00:00,3.1529,3.3826,3.113,3.286,836060.1
2024-03-15 07:00:00,3.286,3.308,3.18,3.1892,565880.0
2024-03-15 08:00:00,3.1892,3.1973,2.7871,2.825,1848086.9
2024-03-15 09:00:00,2.825,3.0464,2.7285,3.0256,1247337.7
2024-03-15 10:00:00,3.0256,3.0291,2.8618,2.8645,863891.9
2024-03-15 11:00:00,2.8645,2.8978,2.7291,2.7643,1094916.2
2024-03-15 12:00:00,2.7643,2.8772,2.7089,2.8364,747116.2
2024-03-15 13:00:00,2.8364,3.0905,2.8279,3.0805,730139.3
2024-03-15 14:00:00,3.0805,3.0953,2.9225,2.999,586789.7
2024-03-15 15:00:00,2.999,3.0061,2.885,2.8978,454591.6
2024-03-15 16:00:00,2.8978,2.9151,2.84,2.8612,586010.4
2024-03-15 17:00:00,2.8612,2.8935,2.8096,2.8364,442954.6
2024-03-15 18:00:00,2.8364,3.0544,2.8349,3.0436,1001257.0
2024-03-15 19:00:00,3.0436,3.1513,2.932,2.9582,1066239.1
2024-03-15 20:00:00,2.9582,2.9697,2.7743,2.7955,617637.2
2024-03-15 21:00:00,2.7955,2.8362,2.7876,2.827,170914.3
2024-03-15 22:00:00,2.827,2.8416,2.7269,2.8206,543572.3
2024-03-15 23:00:00,2.8206,2.8543,2.7804,2.8211,278573.0
2024-03-16 00:00:00,2.8211,2.9446,2.7931,2.8115,770042.0
2024-03-16 01:00:00,2.8115,2.8579,2.776,2.848,282031.2
2024-03-16 02:00:00,2.848,2.8557,2.6523,2.6893,701548.3
2024-03-16 03:00:00,2.6893,2.7461,2.6551,2.7183,417261.7
2024-03-16 04:00:00,2.7183,2.7551,2.6308,2.6397,486813.5
2024-03-16 05:00:00,2.6397,2.6397,2.4138,2.5636,1314873.3
2024-03-16 06:00:00,2.5636,2.6277,2.5572,2.5969,594618.1
2024-03-16 07:00:00,2.5969,2.6285,2.5112,2.6224,553020.4
2024-03-16 08:00:00,2.6224,2.6592,2.5807,2.5915,548157.3
2024-03-16 09:00:00,2.5915,2.6083,2.5188,2.5217,414300.2
2024-03-16 10:00:00,2.5217,2.6656,2.5011,2.6602,625386.1
2024-03-16 11:00:00,2.6602,2.7463,2.5788,2.5854,798277.0
2024-03-16 12:00:00,2.5854,2.6135,2.5016,2.5301,824426.4
2024-03-16 13:00:00,2.5301,2.566,2.4301,2.4338,695699.9
2024-03-16 14:00:00,2.4338,2.5244,2.4163,2.4956,847427.7
2024-03-16 15:00:00,2.4956,2.5563,2.4332,2.5517,545422.4
2024-03-16 16:00:00,2.5517,2.6091,2.515,2.5684,542849.2
2024-03-16 17:00:00,2.5684,2.5711,2.3506,2.3646,1099894.5
2024-03-16 18:00:00,2.3646,2.4038,2.198,2.2665,2460546.5
2024-03-16 19:00:00,2.2665,2.3675,2.186,2.1893,1179021.4
2024-03-16 20:00:00,2.1893,2.2855,2.1829,2.2422,539751.0
2024-03-16 21:00:00,2.2422,2.2596,2.1411,2.1704,718969.1
2024-03-16 22:00:00,2.1704,2.2203,2.1254,2.1834,663805.3
2024-03-16 23:00:00,2.1834,2.2398,2.0593,2.2271,1390409.7
2024-03-17 00:00:00,2.2271,2.2883,2.1852,2.195,1033235.6
2024-03-17 01:00:00,2.195,2.3361,2.195,2.3325,405999.7
2024-03-17 02:00:00,2.3325,2.3689,2.2826,2.3681,488051.2
2024-03-17 03:00:00,2.3681,2.38,2.3091,2.3721,427342.2
2024-03-17 04:00:00,2.3721,2.3721,2.2952,2.3256,215714.9
2024-03-17 05:00:00,2.3256,2.3996,2.2877,2.3181,341700.6
2024-03-17 06:00:00,2.3181,2.3357,2.2319,2.2319,534637.6
2024-03-17 07:00:00,2.2319,2.2804,2.17,2.2723,960226.6
2024-03-17 08:00:00,2.2723,2.38,2.2513,2.3391,393192.2
2024-03-17 09:00:00,2.3391,2.3851,2.3249,2.349,416934.8
2024-03-17 10:00:00,2.349,2.6158,2.3472,2.5693,1318884.2
2024-03-17 11:00:00,2.5693,2.7239,2.5681,2.5836,673197.4
2024-03-17 12:00:00,2.5836,2.5847,2.375,2.3828,860754.5
2024-03-17 13:00:00,2.3828,2.472,2.3822,2.4595,815926.3
2024-03-17 14:00:00,2.4595,2.4676,2.38,2.4505,434856.0
2024-03-17 15:00:00,2.4505,2.57,2.4011,2.551,631633.0
2024-03-17 16:00:00,2.551,2.597,2.4902,2.5403,850165.1
2024-03-17 17:00:00,2.5403,2.797,2.5197,2.7918,1103329.1
2024-03-17 18:00:00,2.7918,2.9448,2.7335,2.8766,1673786.4
2024-03-17 19:00:00,2.8766,2.9918,2.854,2.9636,827788.0
2024-03-17 20:00:00,2.9636,3.0971,2.9166,2.946,1192104.9
2024-03-17 21:00:00,2.946,3.1526,2.9417,3.1147,889491.9
2024-03-17 22:00:00,3.1147,3.117,2.9824,2.9915,1144293.9
2024-03-17 23:00:00,2.9915,3.0571,2.9551,3.0376,598763.8
2024-03-18 00:00:00,3.0376,3.0935,2.8951,2.8997,1156514.6
2024-03-18 01:00:00,2.8997,3.0459,2.8815,3.0049,953575.7
2024-03-18 02:00:00,3.0049,3.1,2.9716,3.0049,678720.5
2024-03-18 03:00:00,3.0049,3.1007,2.9856,3.0164,1001334.1
2024-03-18 04:00:00,3.0164,3.04,2.9275,2.9825,923646.5
2024-03-18 05:00:00,2.9825,3.0131,2.933,2.9607,506014.9
2024-03-18 06:00:00,2.9607,2.9609,2.8504,2.862,787533.1
2024-03-18 07:00:00,2.862,2.9242,2.8527,2.87,674756.8
2024-03-18 08:00:00,2.87,2.8733,2.7429,2.7849,1264757.4
2024-03-18 09:00:00,2.7849,2.7849,2.5557,2.5845,1908641.8
