date,open,high,low,close,volume
2023-12-31 23:00:00,8.128,8.195,8.119,8.164,21375.0
2023-12-31 23:30:00,8.164,8.207,8.149,8.204,14810.0
2024-01-01 00:00:00,8.204,8.267,8.2,8.23,20912.0
2024-01-01 00:30:00,8.23,8.276,8.212,8.27,18160.0
2024-01-01 01:00:00,8.27,8.285,8.245,8.281,4694.0
2024-01-01 01:30:00,8.281,8.328,8.281,8.296,9629.0
2024-01-01 02:00:00,8.296,8.303,8.259,8.269,4501.0
2024-01-01 02:30:00,8.269,8.276,8.245,8.257,5194.0
2024-01-01 03:00:00,8.257,8.261,8.179,8.188,8121.0
2024-01-01 03:30:00,8.188,8.208,8.128,8.147,35373.0
2024-01-01 04:00:00,8.147,8.181,8.063,8.116,27758.0
2024-01-01 04:30:00,8.116,8.148,8.101,8.14,2885.0
2024-01-01 05:00:00,8.14,8.178,8.123,8.159,2335.0
2024-01-01 05:30:00,8.159,8.17,8.092,8.1,5713.0
2024-01-01 06:00:00,8.1,8.138,8.1,8.134,5367.0
2024-01-01 06:30:00,8.134,8.156,8.122,8.146,5326.0
2024-01-01 07:00:00,8.146,8.159,8.116,8.136,3424.0
2024-01-01 07:30:00,8.136,8.176,8.136,8.171,2859.0
2024-01-01 08:00:00,8.171,8.186,8.158,8.159,3782.0
2024-01-01 08:30:00,8.159,8.191,8.145,8.191,6611.0
2024-01-01 09:00:00,8.191,8.204,8.173,8.198,16195.0
2024-01-01 09:30:00,8.198,8.247,8.198,8.24,10965.0
2024-01-01 10:00:00,8.24,8.256,8.219,8.231,18379.0
2024-01-01 10:30:00,8.231,8.258,8.231,8.251,11555.0
2024-01-01 11:00:00,8.251,8.273,8.234,8.237,8285.0
2024-01-01 11:30:00,8.237,8.247,8.213,8.244,10610.0
2024-01-01 12:00:00,8.244,8.253,8.213,8.24,3339.0
2024-01-01 12:30:00,8.24,8.276,8.231,8.248,8393.0
2024-01-01 13:00:00,8.248,8.276,8.221,8.266,5067.0
2024-01-01 13:30:00,8.266,8.287,8.258,8.28,11841.0
2024-01-01 14:00:00,8.28,8.28,8.214,8.248,16313.0
2024-01-01 14:30:00,8.248,8.274,8.236,8.264,5673.0
2024-01-01 15:00:00,8.264,8.371,8.264,8.367,14181.0
2024-01-01 15:30:00,8.367,8.383,8.321,8.383,32678.0
2024-01-01 16:00:00,8.383,8.408,8.331,8.346,15810.0
2024-01-01 16:30:00,8.346,8.379,8.312,8.318,12358.0
2024-01-01 17:00:00,8.318,8.361,8.318,8.359,5939.0
2024-01-01 17:30:00,8.359,8.392,8.343,8.386,8952.0
2024-01-01 18:00:00,8.386,8.551,8.386,8.537,40343.0
2024-01-01 18:30:00,8.537,8.551,8.505,8.514,16998.0
2024-01-01 19:00:00,8.514,8.592,8.514,8.584,18201.0
2024-01-01 19:30:00,8.584,8.606,8.564,8.602,33101.0
2024-01-01 20:00:00,8.602,8.637,8.533,8.568,36324.0
2024-01-01 20:30:00,8.568,8.597,8.551,8.562,10413.0
2024-01-01 21:00:00,8.562,8.574,8.517,8.519,30221.0
2024-01-01 21:30:00,8.519,8.544,8.509,8.543,12246.0
2024-01-01 22:00:00,8.543,8.559,8.476,8.509,22631.0
2024-01-01 22:30:00,8.509,8.557,8.508,8.532,12796.0
2024-01-01 23:00:00,8.532,8.617,8.505,8.617,48992.0
2024-01-01 23:30:00,8.617,8.641,8.587,8.603,57238.0
2024-01-02 00:00:00,8.603,8.666,8.542,8.647,24872.0
2024-01-02 00:30:00,8.647,8.718,8.631,8.698,52741.0
2024-01-02 01:00:00,8.698,8.771,8.67,8.724,46048.0
2024-01-02 01:30:00,8.724,8.735,8.647,8.679,16048.0
2024-01-02 02:00:00,8.679,8.679,8.632,8.676,4610.0
2024-01-02 02:30:00,8.676,8.724,8.676,8.72,8572.0
2024-01-02 03:00:00,8.72,8.725,8.635,8.653,14055.0
2024-01-02 03:30:00,8.653,8.683,8.618,8.681,9947.0
2024-01-02 04:00:00,8.681,8.693,8.657,8.681,11416.0
2024-01-02 04:30:00,8.681,8.712,8.657,8.7,7109.0
2024-01-02 05:00:00,8.7,8.704,8.68,8.685,6393.0
2024-01-02 05:30:00,8.685,8.686,8.655,8.656,3584.0
2024-01-02 06:00:00,8.656,8.688,8.647,8.687,6846.0
2024-01-02 06:30:00,8.687,8.687,8.622,8.633,23046.0
2024-01-02 07:00:00,8.633,8.694,8.628,8.676,12634.0
2024-01-02 07:30:00,8.676,8.712,8.667,8.712,12548.0
2024-01-02 08:00:00,8.712,8.76,8.691,8.753,38525.0
