date,open,high,low,close,volume
2023-12-31 23:00:00,2.1301,2.1543,2.1243,2.1312,39144.2
2023-12-31 23:30:00,2.1312,2.1448,2.1286,2.1309,27118.0
2024-01-01 00:00:00,2.1309,2.1665,2.1309,2.1566,25553.1
2024-01-01 00:30:00,2.1566,2.1677,2.1519,2.164,9953.9
2024-01-01 01:00:00,2.164,2.1659,2.1567,2.161,4183.0
2024-01-01 01:30:00,2.161,2.1714,2.1609,2.1666,17446.5
2024-01-01 02:00:00,2.1666,2.1725,2.1591,2.1691,14892.6
2024-01-01 02:30:00,2.1691,2.1702,2.1588,2.1646,7161.7
2024-01-01 03:00:00,2.1646,2.1678,2.1447,2.1496,31723.5
2024-01-01 03:30:00,2.1496,2.1568,2.1371,2.1406,27081.1
2024-01-01 04:00:00,2.1406,2.1528,2.1252,2.1326,33975.2
2024-01-01 04:30:00,2.1326,2.1379,2.1276,2.137,15542.1
2024-01-01 05:00:00,2.137,2.1505,2.1361,2.1443,5635.1
2024-01-01 05:30:00,2.1443,2.1501,2.1237,2.1277,6906.5
2024-01-01 06:00:00,2.1277,2.1472,2.1249,2.1386,7792.2
2024-01-01 06:30:00,2.1386,2.1436,2.1357,2.1357,7305.0
2024-01-01 07:00:00,2.1357,2.1466,2.1354,2.1375,16471.9
2024-01-01 07:30:00,2.1375,2.1523,2.137,2.1421,6879.1
2024-01-01 08:00:00,2.1421,2.1779,2.1421,2.1722,65487.2
2024-01-01 08:30:00,2.1722,2.1996,2.1631,2.1771,124846.6
2024-01-01 09:00:00,2.1771,2.1771,2.1644,2.167,36192.0
2024-01-01 09:30:00,2.167,2.1724,2.1623,2.1683,17639.8
2024-01-01 10:00:00,2.1683,2.1905,2.1635,2.1902,20577.7
2024-01-01 10:30:00,2.1902,2.2128,2.1794,2.1971,56097.4
2024-01-01 11:00:00,2.1971,2.1999,2.1816,2.1919,39103.1
2024-01-01 11:30:00,2.1919,2.1999,2.1865,2.1999,33932.7
2024-01-01 12:00:00,2.1999,2.2305,2.1996,2.2223,33546.9
2024-01-01 12:30:00,2.2223,2.232,2.2161,2.2193,38445.9
2024-01-01 13:00:00,2.2193,2.2323,2.2152,2.2279,25263.7
2024-01-01 13:30:00,2.2279,2.2313,2.2167,2.2184,15196.3
2024-01-01 14:00:00,2.2184,2.221,2.204,2.2145,21246.1
2024-01-01 14:30:00,2.2145,2.23,2.2039,2.2258,24052.7
2024-01-01 15:00:00,2.2258,2.2288,2.2158,2.2233,47912.2
2024-01-01 15:30:00,2.2233,2.2317,2.213,2.2296,11822.4
2024-01-01 16:00:00,2.2296,2.2486,2.2274,2.2349,20843.9
2024-01-01 16:30:00,2.2349,2.243,2.2297,2.2325,39589.1
2024-01-01 17:00:00,2.2325,2.2368,2.226,2.2308,13365.3
2024-01-01 17:30:00,2.2308,2.2328,2.2208,2.2236,6204.1
2024-01-01 18:00:00,2.2236,2.2542,2.2223,2.2498,12368.6
2024-01-01 18:30:00,2.2498,2.2503,2.2319,2.2462,23483.7
2024-01-01 19:00:00,2.2462,2.2564,2.2343,2.2564,9624.2
2024-01-01 19:30:00,2.2564,2.2618,2.2513,2.2583,28784.2
