date,open,high,low,close,volume
2023-12-31 23:00:00,0.6697,0.6754,0.6691,0.6739,34761.0
2023-12-31 23:05:00,0.6739,0.6755,0.6737,0.6747,12260.0
2023-12-31 23:10:00,0.6747,0.6749,0.6725,0.6727,2916.0
2023-12-31 23:15:00,0.6727,0.6731,0.6689,0.67,20468.0
2023-12-31 23:20:00,0.67,0.6701,0.6681,0.6683,7191.0
2023-12-31 23:25:00,0.6683,0.6707,0.6683,0.6702,6352.0
2023-12-31 23:30:00,0.6702,0.6766,0.6697,0.6765,3303.0
2023-12-31 23:35:00,0.6765,0.6765,0.6736,0.6747,14620.0
2023-12-31 23:40:00,0.6747,0.6754,0.6741,0.6752,1580.0
2023-12-31 23:45:00,0.6752,0.6766,0.6745,0.6761,4677.0
2023-12-31 23:50:00,0.6761,0.6761,0.6718,0.672,8851.0
2023-12-31 23:55:00,0.672,0.6738,0.6715,0.6724,1153.0
2024-01-01 00:00:00,0.6724,0.6761,0.6718,0.676,8351.0
2024-01-01 00:05:00,0.676,0.6796,0.6756,0.6783,5649.0
2024-01-01 00:10:00,0.6783,0.6807,0.6779,0.6806,3178.0
2024-01-01 00:15:00,0.6806,0.6815,0.6798,0.68,24705.0
2024-01-01 00:20:00,0.68,0.6819,0.6783,0.6813,13137.0
2024-01-01 00:25:00,0.6813,0.6814,0.6766,0.6784,8501.0
2024-01-01 00:30:00,0.6784,0.6808,0.6783,0.6794,3895.0
2024-01-01 00:35:00,0.6794,0.6811,0.6782,0.6809,8427.0
2024-01-01 00:40:00,0.6809,0.6823,0.6797,0.6822,13077.0
2024-01-01 00:45:00,0.6822,0.6834,0.6805,0.6821,10395.0
2024-01-01 00:50:00,0.6821,0.6842,0.6812,0.6837,39656.0
2024-01-01 00:55:00,0.6837,0.686,0.6836,0.6859,24863.0
2024-01-01 01:00:00,0.6859,0.6859,0.6824,0.6836,9507.0
2024-01-01 01:05:00,0.6836,0.6856,0.6836,0.6855,4789.0
2024-01-01 01:10:00,0.6855,0.6855,0.6841,0.6844,1073.0
2024-01-01 01:15:00,0.6844,0.6851,0.6821,0.6833,2428.0
2024-01-01 01:20:00,0.6833,0.6848,0.683,0.6848,7672.0
2024-01-01 01:25:00,0.6848,0.6857,0.6838,0.6846,1555.0
2024-01-01 01:30:00,0.6846,0.6867,0.6845,0.6856,8668.0
2024-01-01 01:35:00,0.6856,0.6873,0.6842,0.6864,2573.0
2024-01-01 01:40:00,0.6864,0.6874,0.6864,0.6873,2133.0
2024-01-01 01:45:00,0.6873,0.6887,0.6873,0.6884,4196.0
2024-01-01 01:50:00,0.6884,0.6901,0.6882,0.6895,17850.0
2024-01-01 01:55:00,0.6895,0.6895,0.6868,0.6877,17203.0
2024-01-01 02:00:00,0.6877,0.6901,0.6861,0.6873,2579.0
2024-01-01 02:05:00,0.6873,0.6898,0.6861,0.6898,7183.0
2024-01-01 02:10:00,0.6898,0.69,0.6884,0.6895,1180.0
2024-01-01 02:15:00,0.6895,0.69,0.6882,0.6889,8149.0
2024-01-01 02:20:00,0.6889,0.6901,0.6889,0.6895,1124.0
