date,open,high,low,close,volume
2023-08-10 07:45:00,4.588,4.589,4.588,4.588,7.7
2023-08-10 07:50:00,4.588,4.589,4.578,4.578,114.3
2023-08-10 07:55:00,4.578,4.59,4.578,4.59,143.5
2023-08-10 08:00:00,4.59,4.595,4.575,4.595,162.4
2023-08-10 08:05:00,4.595,4.649,4.595,4.642,238.4
2023-08-10 08:10:00,4.642,4.647,4.625,4.639,93.3
2023-08-10 08:15:00,4.639,4.663,4.638,4.661,104.0
2023-08-10 08:20:00,4.661,4.663,4.646,4.647,89.9
2023-08-10 08:25:00,4.647,4.664,4.646,4.653,115.4
2023-08-10 08:30:00,4.653,4.673,4.653,4.656,133.8
2023-08-10 08:35:00,4.656,4.682,4.648,4.68,158.1
2023-08-10 08:40:00,4.68,4.69,4.671,4.674,141.3
2023-08-10 08:45:00,4.674,4.694,4.672,4.69,187.3
2023-08-10 08:50:00,4.69,4.69,4.675,4.685,357.1
2023-08-10 08:55:00,4.685,4.688,4.681,4.684,409.3
2023-08-10 09:00:00,4.684,4.706,4.682,4.695,254.5
2023-08-10 09:05:00,4.695,4.699,4.676,4.678,287.7
2023-08-10 09:10:00,4.678,4.679,4.672,4.678,335.7
2023-08-10 09:15:00,4.678,4.699,4.678,4.695,219.5
2023-08-10 09:20:00,4.695,4.697,4.689,4.689,307.5
2023-08-10 09:25:00,4.689,4.691,4.683,4.686,335.9
2023-08-10 09:30:00,4.686,4.692,4.677,4.692,289.5
2023-08-10 09:35:00,4.692,4.733,4.69,4.733,285.4
2023-08-10 09:40:00,4.733,4.75,4.728,4.735,601.4
2023-08-10 09:45:00,4.735,4.736,4.714,4.717,391.3
2023-08-10 09:50:00,4.717,4.717,4.699,4.703,308.3
2023-08-10 09:55:00,4.703,4.721,4.695,4.718,667.5
2023-08-10 10:00:00,4.718,4.718,4.7,4.705,5411.9
2023-08-10 10:05:00,4.705,4.721,4.705,4.721,4938.9
2023-08-10 10:10:00,4.721,4.726,4.713,4.715,2528.4
2023-08-10 10:15:00,4.715,4.715,4.704,4.704,1571.8
2023-08-10 10:20:00,4.704,4.71,4.7,4.709,6027.7
2023-08-10 10:25:00,4.709,4.711,4.702,4.704,1814.6
2023-08-10 10:30:00,4.704,4.72,4.704,4.72,1366.8
2023-08-10 10:35:00,4.72,4.75,4.72,4.743,38268.5
2023-08-10 10:40:00,4.743,4.777,4.743,4.761,33447.4
2023-08-10 10:45:00,4.761,4.802,4.761,4.801,41515.2
2023-08-10 10:50:00,4.801,4.9,4.799,4.853,128986.8
2023-08-10 10:55:00,4.853,4.923,4.835,4.852,73222.5
2023-08-10 11:00:00,4.852,4.867,4.82,4.821,59109.3
2023-08-10 11:05:00,4.821,4.84,4.815,4.823,18294.8
2023-08-10 11:10:00,4.823,4.823,4.799,4.811,16651.0
2023-08-10 11:15:00,4.811,4.816,4.776,4.78,16088.0
2023-08-10 11:20:00,4.78,4.78,4.763,4.776,13424.3
2023-08-10 11:25:00,4.776,4.782,4.758,4.775,29568.5
2023-08-10 11:30:00,4.775,4.775,4.753,4.763,17004.3
2023-08-10 11:35:00,4.763,4.763,4.735,4.742,22663.2
