date,open,high,low,close,volume
2024-07-26 10:25:00,6.894,6.907,6.893,6.907,81.7
2024-07-26 10:30:00,6.907,6.933,6.889,6.921,1435.0
2024-07-26 10:35:00,6.921,6.959,6.921,6.955,1464.0
2024-07-26 10:40:00,6.955,7.019,6.926,7.004,1867.9
2024-07-26 10:45:00,7.004,7.036,6.967,7.015,3096.4
2024-07-26 10:50:00,7.015,7.015,6.992,6.994,662.9
2024-07-26 10:55:00,6.994,6.994,6.87,6.887,3564.4
2024-07-26 11:00:00,6.887,6.978,6.883,6.961,4773.4
2024-07-26 11:05:00,6.961,6.971,6.813,6.817,4295.6
2024-07-26 11:10:00,6.817,6.937,6.817,6.859,29368.8
2024-07-26 11:15:00,6.859,6.921,6.843,6.889,16862.3
2024-07-26 11:20:00,6.889,6.894,6.83,6.894,5612.7
2024-07-26 11:25:00,6.894,6.894,6.807,6.863,7332.7
2024-07-26 11:30:00,6.863,6.891,6.847,6.884,5496.8
2024-07-26 11:35:00,6.884,6.928,6.884,6.928,4223.7
2024-07-26 11:40:00,6.928,6.928,6.859,6.861,2904.4
2024-07-26 11:45:00,6.861,6.873,6.75,6.75,7386.7
2024-07-26 11:50:00,6.75,6.799,6.745,6.767,2935.4
2024-07-26 11:55:00,6.767,6.842,6.754,6.809,2751.0
2024-07-26 12:00:00,6.809,6.913,6.8,6.908,12294.9
2024-07-26 12:05:00,6.908,6.917,6.871,6.872,4106.3
2024-07-26 12:10:00,6.872,6.88,6.828,6.857,2477.3
2024-07-26 12:15:00,6.857,6.857,6.789,6.803,4187.6
2024-07-26 12:20:00,6.803,6.803,6.785,6.801,1371.4
2024-07-26 12:25:00,6.801,6.83,6.792,6.806,5355.9
2024-07-26 12:30:00,6.806,6.821,6.778,6.78,2669.2
2024-07-26 12:35:00,6.78,6.788,6.713,6.774,6988.7
2024-07-26 12:40:00,6.774,6.8,6.709,6.728,4545.3
2024-07-26 12:45:00,6.728,6.814,6.713,6.799,5145.5
2024-07-26 12:50:00,6.799,6.841,6.764,6.822,16875.2
2024-07-26 12:55:00,6.822,6.848,6.779,6.82,5354.7
2024-07-26 13:00:00,6.82,6.85,6.781,6.785,5367.7
2024-07-26 13:05:00,6.785,6.83,6.783,6.83,3425.3
2024-07-26 13:10:00,6.83,6.83,6.798,6.81,3643.9
2024-07-26 13:15:00,6.81,6.833,6.808,6.829,3567.5
2024-07-26 13:20:00,6.829,6.867,6.801,6.867,4316.4
2024-07-26 13:25:00,6.867,6.89,6.86,6.888,3404.6
2024-07-26 13:30:00,6.888,6.89,6.883,6.884,1581.5
2024-07-26 13:35:00,6.884,6.893,6.868,6.871,1562.7
2024-07-26 13:40:00,6.871,6.901,6.871,6.892,3053.8
2024-07-26 13:45:00,6.892,6.924,6.883,6.92,4187.2
2024-07-26 13:50:00,6.92,6.922,6.843,6.844,2957.3
2024-07-26 13:55:00,6.844,6.871,6.834,6.856,9047.3
2024-07-26 14:00:00,6.856,6.906,6.773,6.793,7904.5
2024-07-26 14:05:00,6.793,6.827,6.791,6.816,5978.8
2024-07-26 14:10:00,6.816,6.847,6.813,6.814,2566.3
2024-07-26 14:15:00,6.814,6.832,6.807,6.81,8930.5
2024-07-26 14:20:00,6.81,6.824,6.769,6.822,10332.7
2024-07-26 14:25:00,6.822,6.852,6.774,6.788,6247.1
2024-07-26 14:30:00,6.788,6.814,6.728,6.745,13890.4
2024-07-26 14:35:00,6.745,6.775,6.74,6.765,4491.7
